"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.davidsonhomes.com/","text/html; charset=utf-8","200","OK","Indexable","","New Construction Homes for Sale in AL, GA and More | Davidson Homes","67","643","As one of the Southeast's fastest growing home builders, Davidson Homes builds stunning new homes in areas like Huntsville, Raleigh, Nashville & more.","150","935","","0","Find Your Dream Home Today","26","","0","Where We Build","14","Davidson Homes is Your Community Builder","40","index,follow","","","https://www.davidsonhomes.com/","","","","","","271390","52028","52028","19.931","","878","234","3.752","81.812","Easy","3.188","0","0","","2860","2787","0","100.000","214","117","0","4","4","0","","","","","8dbc0e04c2e6ebddcd45e2b7c14a7be9","0.037","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/","2025-12-09 22:28:23"
"https://www.davidsonhomes.com/_next/static/css/c4c15d16e6c19c1e.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.026","Mon, 08 Dec 2025 18:47:02 GMT","","","","","1.1","","","","","","https://www.davidsonhomes.com/_next/static/css/c4c15d16e6c19c1e.css","2025-12-09 22:28:25"
"https://www.davidsonhomes.com/favorites/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Your Favorites | Davidson Homes","31","295","Find your favorited Davidson Homes here!","40","259","","0","My Favorites (0)","16","","0","","0","","0","noindex,follow","","","https://www.davidsonhomes.com/favorites","","","","","","77333","16470","16470","6.309","","239","108","2.213","84.237","Easy","6.373","1","1","","2787","2787","0","100.000","192","101","0","4","4","0","","","","","ce027dc5e8c58423a5df81d8b14b2bab","0.740","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/favorites/","2025-12-09 22:28:25"
"https://www.davidsonhomes.com/states/alabama/huntsville-market-area/arab/","text/html; charset=utf-8","200","OK","Indexable","","Homes for Sale in Arab, AL | Davidson Homes","43","405","Build your dream home in Arab, AL with Davidson Homes. Browse quick-move in homes, flexible floor plans and stunning communities across Arab.","141","906","","0","New Homes in Arab","17","","0","Filter","6","Filter","6","index,follow","","","https://www.davidsonhomes.com/states/alabama/huntsville-market-area/arab/","","","","","","160608","35968","35968","13.779","","921","230","4.004","67.649","Normal","3.376","1","4","","5272","2786","0","99.960","101","99","0","2","2","0","","","","","291377b9129a4203dd7c1e6c989ff7ea","1.534","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/states/alabama/huntsville-market-area/arab/","2025-12-09 22:28:24"
"https://www.davidsonhomes.com/states/tennessee/nashville-market-area/white-house/","text/html; charset=utf-8","200","OK","Indexable","","Homes for Sale in White House, TN | Davidson Homes","50","479","Build your dream home in White House, TN with Davidson Homes. Browse quick-move in homes, flexible floor plans and stunning communities across White House.","155","1003","","0","New Homes in White House","24","","0","Filter","6","Filter","6","index,follow","","","https://www.davidsonhomes.com/states/tennessee/nashville-market-area/white-house/","","","","","","201220","42515","42515","16.287","","1203","285","4.221","67.528","Normal","3.643","1","4","","5306","2786","0","99.960","102","100","0","2","2","0","","","","","f0471ff6225a876e50e3b935ec3c703f","1.594","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/states/tennessee/nashville-market-area/white-house/","2025-12-09 22:28:24"
"https://www.davidsonhomes.com/_next/static/chunks/4820-cc40db6e8bc27ce9.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.009","Mon, 08 Dec 2025 18:47:02 GMT","","","","","1.1","","","","","","https://www.davidsonhomes.com/_next/static/chunks/4820-cc40db6e8bc27ce9.js","2025-12-09 22:28:26"
"https://www.davidsonhomes.com/_next/static/Y7MDtKLH4mHMG1mjFiB7E/_buildManifest.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.008","Mon, 08 Dec 2025 18:47:02 GMT","","","","","1.1","","","","","","https://www.davidsonhomes.com/_next/static/Y7MDtKLH4mHMG1mjFiB7E/_buildManifest.js","2025-12-09 22:28:26"
"https://www.davidsonhomes.com/_next/static/chunks/framework-4be1b6c763450756.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.015","Mon, 08 Dec 2025 18:47:02 GMT","","","","","1.1","","","","","","https://www.davidsonhomes.com/_next/static/chunks/framework-4be1b6c763450756.js","2025-12-09 22:28:26"
"https://www.davidsonhomes.com/home-building-blog/category/blog/","text/html; charset=utf-8","200","OK","Indexable","","Blog Archives | Davidson Homes","30","287","As one of the nation's fastest growing home builders, Davidson Homes builds stunning new homes in areas like Huntsville, Raleigh, Nashville and more.","149","926","","0","Blog Posts & Updates","20","","0","","0","","0","index,follow","","","https://www.davidsonhomes.com/home-building-blog/category/blog/","","","","","","278676","57438","57438","22.003","","1430","317","4.511","73.818","Fairly Easy","4.358","1","3","","2495","2459","0","88.230","221","128","0","4","4","0","","","","","a13c708a3c183da39e674d4c66dd18bd","2.010","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/home-building-blog/category/blog/","2025-12-09 22:28:24"
"https://www.davidsonhomes.com/states/alabama/huntsville-market-area/harvest/","text/html; charset=utf-8","200","OK","Indexable","","Homes for Sale in Harvest, AL | Davidson Homes","46","433","Build your dream home in Harvest, AL with Davidson Homes. Browse quick-move in homes, flexible floor plans and stunning communities across Harvest.","147","944","","0","New Homes in Harvest","20","","0","Filter","6","Filter","6","index,follow","","","https://www.davidsonhomes.com/states/alabama/huntsville-market-area/harvest/","","","","","","228203","46870","46870","17.955","","1669","396","4.215","72.236","Fairly Easy","4.464","1","4","","5310","2786","0","99.960","112","108","0","3","3","0","","","","","2929820f731c4588ab1074788d4b3043","1.450","","","","","en","1.1","","","","","","https://www.davidsonhomes.com/states/alabama/huntsville-market-area/harvest/","2025-12-09 22:28:25"
